Stock Symbol,Company Name,ISIN Code,Qty,Average Cost Price,Current Market Price,% Change over prev close,Value At Cost,Value At Market Price,Realized Profit / Loss,Unrealized Profit/Loss,Unrealized Profit/Loss %,
EXIIND,EXIDE INDUSTRIES LTD,INE302A01020,100,198.63,366.25,+ 5.78,19863.00,36625.00,0.00,16762.00,84.39,
GABIND,GABRIEL INDIA LTD,INE524A01029,100,127.35,1097.90,- 2.58,12735.00,109790.00,0.00,97055.00,762.11,
JAMAUT,JAMNA AUTO INDUSTRIES LIMITED,INE039C01032,500,95.13,123.62,+ 5.08,47565.00,61810.00,0.00,14245.00,29.95,
PRECAM,PRECISION CAMSHAFTS LIMITED,INE484I01029,200,173.54,154.31,+ 0.05,34708.00,30862.00,0.00,-3846.00,(11.08),
SONBLW,SONA BLW PRECISION FORGINGS,INE073K01018,309,291.00,608.00,+ 2.25,89919.00,187872.00,0.00,97953.00,108.93,
TATCOV,TATA MOTORS LIMITED,INE1TAE01010,100,88.67,385.10,- 2.67,8867.00,38510.00,0.00,29643.00,334.31,
TATMOT,TATA MOTORS PAX VEHICLES LTD,INE155A01022,100,284.67,385.60,+ 3.31,28467.00,38560.00,5531.95,10093.00,35.46,
EQUSMA,EQUITAS SMALL FINANCE BANK LTD,INE063P01018,1700,36.82,70.15,+ 2.92,62594.00,119255.00,130895.09,56661.00,90.52,
INDBA,INDUSIND BANK LIMITED,INE095A01012,50,669.59,932.30,+ 0.67,33479.50,46615.00,(89054.81),13135.50,39.23,
INDIBA,INDIAN BANK,INE562A01011,70,126.40,833.55,- 0.79,8848.00,58348.50,9555.66,49500.50,559.45,
PUNBAN,PUNJAB NATIONAL BANK,INE160A01022,500,35.61,105.91,- 0.33,17805.00,52955.00,(46.49),35150.00,197.42,
STABAN,STATE BANK OF INDIA,INE062A01020,350,336.75,968.50,- 0.11,117862.50,338975.00,(954.22),221112.50,187.60,
YESBAN,YES BANK LIMITED,INE528G01035,4000,12.00,22.83,+ 2.42,48000.00,91320.00,(17715.99),43320.00,90.25,
INDCEM,INDIA CEMENTS LTD,INE383A01012,100,159.42,404.60,+ 0.27,15942.00,40460.00,0.00,24518.00,153.80,
GHCLIM,GHCL LIMITED,INE539A01019,100,393.18,458.45,+ 3.42,39318.00,45845.00,0.00,6527.00,16.60,
GRAWEI,GRAUER & WEIL (INDIA) LTD,INE266D01021,640,13.18,75.02,+ 10.16,8435.20,48012.80,8982.31,39577.60,469.20,
NATFER,NATIONAL FERTILIZERS LIMITED,INE870D01012,200,69.38,78.36,+ 1.06,13876.00,15672.00,0.00,1796.00,12.94,
PARPHO,PARADEEP PHOSPHATES LIMITED,INE088F01024,200,224.40,127.64,- 0.75,44880.00,25528.00,0.00,-19352.00,(43.12),
SHIRAS,SHIVALIK RASAYAN LIMITED,INE788J01021,200,264.22,264.50,- 0.02,52844.00,52900.00,0.00,56.00,0.11,
TATCHI,TATVA CHINTAN PHARMA CHEM LTD,INE0GK401011,50,1161.64,1158.00,- 2.09,58082.00,57900.00,0.00,-182.00,(0.31),
